term,fish_section,definition_structural,mechanism_type,ree_locus,ai_structural_equivalent,in_taxonomy,notes
Clouding of consciousness,1. Consciousness and orientation,Mild global impairment of awareness and attention; reduced clarity of registration of percepts; fluctuating,Precision dysregulation,Control plane (global gain reduction); E1 registration threshold elevated,Global precision weight suppression; attention head entropy elevated; inputs accepted at sub-normal signal strength,partial,Sub-threshold form of delirium. Precision misallocation entry covers locus but not global gain reduction specifically
Delirium,1. Consciousness and orientation,"Global fluctuating impairment: reduced awareness, disorientation, perceptual distortions, psychomotor disturbance, altered sleep-wake cycle",Precision dysregulation,Control plane global gain; RC loop destabilised; replay/consolidation disrupted,Simultaneous precision misallocation + provenance collapse + oscillating attention; system cannot maintain stable context window,no,"Multi-mechanism syndrome. Candidate new entry: would require representing simultaneous failure across RC loop, precision plane, and replay"
Stupor,1. Consciousness and orientation,Marked reduction of responsiveness to stimuli without loss of consciousness; voluntary motor activity absent or minimal,Threshold miscalibration,E3 commit gate (gate will not open); control plane motor output gating maximally elevated,Commit gate threshold set to infinity; planning loop active but no action output propagates; system processes without acting,partial,Extreme pole of commitment dysregulation (paralysis end). Catatonic stupor specifically addressable as distinct from metabolic/toxic
Twilight state,1. Consciousness and orientation,"Narrowed field of consciousness with apparently purposive behaviour but subsequent amnesia; automatic, detached quality",Comparator failure,RC loop offline; E3 runs action sequences without provenance-checking against conscious context,Automated action chain executing without RC loop; no grounding of current outputs against attended context,partial,Overlaps provenance collapse but adds automated-action dimension. Dissociative automatism not explicitly covered
"Disorientation (time, place, person)",1. Consciousness and orientation,"Failure to correctly register contextual frame (temporal, spatial, personal identity) in which current experience is embedded",Comparator failure,RC loop context tagging; hippocampal temporal/spatial indexing; provenance metadata absent,Context window does not carry reliable frame-stamp; outputs generated without temporal/spatial/identity anchor,partial,"Mechanism overlaps provenance collapse (MECH-094 hypothesis tag lost) but applied to context-frame, not just self/other attribution"
Distractibility,2. Attention,Attention captured by extraneous stimuli; inability to sustain focus on a task; attentional set shifts involuntarily,Precision dysregulation,Control plane: precision weight on task-relevant channel is non-dominant; irrelevant channels compete successfully,Attention weight distribution flat or noisy; salient but irrelevant tokens capture heads away from task context,partial,"Precision misallocation covers mechanism but is framed around over-weighting one channel, not competitive capture by noise"
Hypervigilance,2. Attention,Heightened sustained scanning of environment for threat; elevated arousal; disproportionate salience assigned to potentially threatening stimuli,Precision dysregulation,Control plane: elevated alpha on threat-relevant channel; amygdala-analog sensitisation raises baseline gain,Precision weight chronically elevated on threat/risk input channel; genuine uncertainty underweighted relative to flagged uncertainty,yes,Precision misallocation entry covers this as primary human analogue
Hypoprosexia / aprosexia,2. Attention,Reduced or absent capacity to focus attention voluntarily; stimulus fails to recruit and hold attentional resource,Precision dysregulation,Control plane: global precision reduction; stimuli fail to exceed recruitment threshold,Attention head weights diffuse; no stimulus achieves sufficient salience score to dominate context window reliably,no,Opposite pole to hypervigilance; global rather than selective precision failure. Not currently in taxonomy
Anterograde amnesia,3. Memory,Failure to form new long-term episodic memories from the point of injury forward; working memory may be intact,Representation absence,Hippocampal consolidation pathway absent or severed; E1 replay does not write to long-term store,In-context processing intact; no mechanism to write current episode to persistent store; each context window starts empty,no,Architectural necessity in stateless transformers. Candidate failure mode: episodic consolidation failure
Retrograde amnesia,3. Memory,"Loss of previously formed memories, typically for period before injury; often temporal gradient (recent more affected)",Representation absence,Long-term store corrupted or inaccessible; retrieval pathway from hippocampus to E1 broken,Fine-tuning catastrophic forgetting; gradient update overwrites earlier-trained representations selectively,no,Catastrophic forgetting in neural networks is structurally equivalent. Future directions section mentions this as candidate
